Date,Julian,Station,Standard,ZipCodes,Scope,DayAirTmpAvg.Value,DayAirTmpAvg.Qc,DayAirTmpAvg.Unit,DayAirTmpMax.Value,DayAirTmpMax.Qc,DayAirTmpMax.Unit,DayAirTmpMin.Value,DayAirTmpMin.Qc,DayAirTmpMin.Unit,DayDewPnt.Value,DayDewPnt.Qc,DayDewPnt.Unit,DayEto.Value,DayEto.Qc,DayEto.Unit,DayPrecip.Value,DayPrecip.Qc,DayPrecip.Unit,DayRelHumAvg.Value,DayRelHumAvg.Qc,DayRelHumAvg.Unit,DayRelHumMax.Value,DayRelHumMax.Qc,DayRelHumMax.Unit,DayRelHumMin.Value,DayRelHumMin.Qc,DayRelHumMin.Unit,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,DaySoilTmpAvg.Unit,DaySolRadAvg.Value,DaySolRadAvg.Qc,DaySolRadAvg.Unit,DayVapPresAvg.Value,DayVapPresAvg.Qc,DayVapPresAvg.Unit,DayWindRun.Value,DayWindRun.Qc,DayWindRun.Unit,DayWindSpdAvg.Value,DayWindSpdAvg.Qc,DayWindSpdAvg.Unit
2024-01-01,1,2,metric,93624,daily,9.2, ,(C),14, ,(C),6.2, ,(C),8.9, ,(C),0.52, ,(mm),0.1, ,(mm),98, ,(%),100, ,(%),83, ,(%),13.9,Y,(C),60, ,(W./sq.m),1.1, ,(kPa),171.6, ,(m/s),2, ,(m/s)
2024-01-02,2,2,metric,93624,daily,8.3, ,(C),11.4, ,(C),6.8, ,(C),8.2, ,(C),0.04, ,(mm),0.8, ,(mm),99, ,(%),100, ,(%),94, ,(%),13.7,Y,(C),24, ,(W./sq.m),1.1, ,(kPa),246.8, ,(m/s),2.9, ,(m/s)
2024-01-03,3,2,metric,93624,daily,9.4, ,(C),14.2, ,(C),5.7, ,(C),8, ,(C),1.23, ,(mm),2.3, ,(mm),91, ,(%),100, ,(%),62, ,(%),13.4,Y,(C),106, ,(W./sq.m),1.1, ,(kPa),197.8, ,(m/s),2.3, ,(m/s)
2024-01-04,4,2,metric,93624,daily,8, ,(C),12, ,(C),3, ,(C),7.2, ,(C),1.3, ,(mm),0, ,(mm),95, ,(%),100, ,(%),79, ,(%),13.5,Y,(C),122, ,(W./sq.m),1, ,(kPa),243, ,(m/s),2.8, ,(m/s)
2024-01-05,5,2,metric,93624,daily,6.5, ,(C),13.4, ,(C),2.5, ,(C),5.6, ,(C),0.95, ,(mm),0.1, ,(mm),94, ,(%),100, ,(%),70, ,(%),13.1, ,(C),84, ,(W./sq.m),0.9, ,(kPa),137.5, ,(m/s),1.6, ,(m/s)
2024-01-06,6,2,metric,93624,daily,5.9, ,(C),10.2, ,(C),0.9, ,(C),5.7, ,(C),0.39, ,(mm),1.3, ,(mm),99, ,(%),100, ,(%),85, ,(%),12.6, ,(C),52, ,(W./sq.m),0.9, ,(kPa),182.1, ,(m/s),2.1, ,(m/s)
2024-01-07,7,2,metric,93624,daily,5.7, ,(C),11.3, ,(C),0.5, ,(C),1.4, ,(C),2.08, ,(mm),0.1, ,(mm),74, ,(%),100, ,(%),50, ,(%),12.2, ,(C),137, ,(W./sq.m),0.7, ,(kPa),330.3, ,(m/s),3.8, ,(m/s)
2024-01-08,8,2,metric,93624,daily,4.2, ,(C),11.7, ,(C),-1.4, ,(C),0.7, ,(C),1.6, ,(mm),0, ,(mm),78, ,(%),97, ,(%),53, ,(%),11.7, ,(C),133, ,(W./sq.m),0.6, ,(kPa),180.6, ,(m/s),2.1, ,(m/s)
2024-01-09,9,2,metric,93624,daily,5.6, ,(C),13.5, ,(C),-2.2, ,(C),1.6, ,(C),1.5, ,(mm),0, ,(mm),76, ,(%),100, ,(%),50, ,(%),11.2, ,(C),129, ,(W./sq.m),0.7, ,(kPa),115.9, ,(m/s),1.3, ,(m/s)
2024-01-10,10,2,metric,93624,daily,11.7, ,(C),22.6, ,(C),9.1, ,(C),5.4, ,(C),1.72, ,(mm),1.1, ,(mm),66, ,(%),100, ,(%),45, ,(%),11.4, ,(C),69, ,(W./sq.m),0.9, ,(kPa),180.7, ,(m/s),2.1, ,(m/s)
2024-01-11,11,2,metric,93624,daily,6, ,(C),12, ,(C),-0.7, ,(C),0.3, ,(C),2.06, ,(mm),0, ,(mm),67, ,(%),90, ,(%),38, ,(%),11.6, ,(C),142, ,(W./sq.m),0.6, ,(kPa),303.2, ,(m/s),3.5, ,(m/s)
2024-01-12,12,2,metric,93624,daily,4.6, ,(C),11.9, ,(C),-3.2, ,(C),0.2, ,(C),1.26, ,(mm),0, ,(mm),73, ,(%),100, ,(%),49, ,(%),11.1, ,(C),109, ,(W./sq.m),0.6, ,(kPa),126, ,(m/s),1.5, ,(m/s)
2024-01-13,13,2,metric,93624,daily,5.7, ,(C),10.7, ,(C),1.1, ,(C),3.9, ,(C),0.5, ,(mm),0.1, ,(mm),88, ,(%),99, ,(%),67, ,(%),10.8, ,(C),56, ,(W./sq.m),0.8, ,(kPa),162, ,(m/s),1.9, ,(m/s)
2024-01-14,14,2,metric,93624,daily,10.4, ,(C),16.8, ,(C),4.5, ,(C),7.6, ,(C),1.38, ,(mm),0, ,(mm),83, ,(%),100, ,(%),60, ,(%),10.9, ,(C),111, ,(W./sq.m),1, ,(kPa),145.9, ,(m/s),1.7, ,(m/s)
2024-01-15,15,2,metric,93624,daily,9.3, ,(C),13.3, ,(C),7.7, ,(C),8.9, ,(C),0.53, ,(mm),0, ,(mm),97, ,(%),100, ,(%),86, ,(%),11.6, ,(C),63, ,(W./sq.m),1.1, ,(kPa),203.1, ,(m/s),2.4, ,(m/s)
2024-01-16,16,2,metric,93624,daily,8.6, ,(C),10.5, ,(C),7.3, ,(C),8.6, ,(C),0.17, ,(mm),0.1, ,(mm),100, ,(%),100, ,(%),99, ,(%),11.9, ,(C),36, ,(W./sq.m),1.1, ,(kPa),148.7, ,(m/s),1.7, ,(m/s)
2024-01-17,17,2,metric,93624,daily,9.8, ,(C),13.6, ,(C),5.5, ,(C),9.8, ,(C),0.42, ,(mm),1.4, ,(mm),100, ,(%),100, ,(%),97, ,(%),12.1, ,(C),57, ,(W./sq.m),1.2, ,(kPa),150.1, ,(m/s),1.7, ,(m/s)
2024-01-18,18,2,metric,93624,daily,9.1, ,(C),15.1, ,(C),3.1, ,(C),8.9, ,(C),0.41, ,(mm),0.1, ,(mm),99, ,(%),100, ,(%),82, ,(%),12.1, ,(C),51, ,(W./sq.m),1.1, ,(kPa),149.4, ,(m/s),1.7, ,(m/s)
2024-01-19,19,2,metric,93624,daily,11.6, ,(C),16.8, ,(C),6.5, ,(C),10.7, ,(C),0.47, ,(mm),1.1, ,(mm),94, ,(%),100, ,(%),78, ,(%),12.2, ,(C),43, ,(W./sq.m),1.3, ,(kPa),187.9, ,(m/s),2.2, ,(m/s)
2024-01-20,20,2,metric,93624,daily,13.3, ,(C),17.2, ,(C),11.1, ,(C),12.3, ,(C),0.7, ,(mm),7.9, ,(mm),94, ,(%),100, ,(%),79, ,(%),12.6, ,(C),62, ,(W./sq.m),1.4, ,(kPa),185.5, ,(m/s),2.1, ,(m/s)
2024-01-21,21,2,metric,93624,daily,13.1, ,(C),17, ,(C),10.9, ,(C),12, ,(C),0.03, ,(mm),1.9, ,(mm),93, ,(%),100, ,(%),79, ,(%),13.1, ,(C),6, ,(W./sq.m),1.4, ,(kPa),248.8, ,(m/s),2.9, ,(m/s)
2024-01-22,22,2,metric,93624,daily,12.4, ,(C),15.3, ,(C),9.7, ,(C),12, ,(C),0, ,(mm),3.8, ,(mm),97, ,(%),100, ,(%),87, ,(%),13.5, ,(C),8, ,(W./sq.m),1.4, ,(kPa),192.4, ,(m/s),2.2, ,(m/s)
2024-01-23,23,2,metric,93624,daily,12.2, ,(C),16.4, ,(C),8.7, ,(C),11.4, ,(C),0.07, ,(mm),0.1, ,(mm),95, ,(%),100, ,(%),78, ,(%),13.7,Y,(C),13, ,(W./sq.m),1.4, ,(kPa),198.1, ,(m/s),2.3, ,(m/s)
2024-01-24,24,2,metric,93624,daily,11.5, ,(C),13.7, ,(C),9, ,(C),11.4, ,(C),0.16, ,(mm),5.7, ,(mm),99, ,(%),100, ,(%),97, ,(%),13.7, ,(C),28, ,(W./sq.m),1.4, ,(kPa),199.8, ,(m/s),2.3, ,(m/s)
2024-01-25,25,2,metric,93624,daily,11.6, ,(C),16.7, ,(C),5.9, ,(C),10.4, ,(C),1.5, ,(mm),0, ,(mm),92, ,(%),100, ,(%),67, ,(%),13.7,Y,(C),110, ,(W./sq.m),1.3, ,(kPa),209.4, ,(m/s),2.4, ,(m/s)
2024-01-26,26,2,metric,93624,daily,10.5, ,(C),17.2, ,(C),4.2, ,(C),8.9, ,(C),1.19, ,(mm),0.1, ,(mm),90, ,(%),100, ,(%),67, ,(%),13.7,Y,(C),99, ,(W./sq.m),1.1, ,(kPa),104.8, ,(m/s),1.2, ,(m/s)
2024-01-27,27,2,metric,93624,daily,10.9, ,(C),16.9, ,(C),5.9, ,(C),9.8, ,(C),0.93, ,(mm),0, ,(mm),93, ,(%),100, ,(%),67, ,(%),13.7,Y,(C),80, ,(W./sq.m),1.2, ,(kPa),117.1, ,(m/s),1.4, ,(m/s)
2024-01-28,28,2,metric,93624,daily,12, ,(C),20, ,(C),5.3, ,(C),10, ,(C),1.55, ,(mm),0.2, ,(mm),88, ,(%),100, ,(%),58, ,(%),13.8,Y,(C),119, ,(W./sq.m),1.2, ,(kPa),105.8, ,(m/s),1.2, ,(m/s)
2024-01-29,29,2,metric,93624,daily,13.7, ,(C),23.3,Y,(C),5.9, ,(C),10.6, ,(C),1.88, ,(mm),0, ,(mm),81, ,(%),100, ,(%),47, ,(%),14,Y,(C),120, ,(W./sq.m),1.3, ,(kPa),137.9, ,(m/s),1.6, ,(m/s)
2024-01-30,30,2,metric,93624,daily,15.1,Y,(C),23.3, ,(C),7.1, ,(C),10,Y,(C),2.01, ,(mm),0, ,(mm),72,Y,(%),100, ,(%),40, ,(%),14.3,Y,(C),107, ,(W./sq.m),1.2, ,(kPa),160, ,(m/s),1.9, ,(m/s)
2024-01-31,31,2,metric,93624,daily,15.4,Y,(C),22.5, ,(C),10.7, ,(C),5,Y,(C),2.08, ,(mm),3.6, ,(mm),50,Y,(%),86, ,(%),26, ,(%),14.4,Y,(C),51, ,(W./sq.m),0.9, ,(kPa),272.2, ,(m/s),3.2, ,(m/s)
2024-02-01,32,2,metric,93624,daily,11.8, ,(C),16.6, ,(C),8.4, ,(C),10.6, ,(C),0.93, ,(mm),28.5, ,(mm),92, ,(%),100, ,(%),70, ,(%),14.2,Y,(C),85, ,(W./sq.m),1.3, ,(kPa),206.9, ,(m/s),2.4, ,(m/s)
2024-02-02,33,2,metric,93624,daily,10.4, ,(C),15.7, ,(C),6.4, ,(C),8.5, ,(C),1.57, ,(mm),1.7, ,(mm),88, ,(%),100, ,(%),60, ,(%),14.1,Y,(C),130, ,(W./sq.m),1.1, ,(kPa),147, ,(m/s),1.7, ,(m/s)
2024-02-03,34,2,metric,93624,daily,9.2, ,(C),13, ,(C),4.1, ,(C),7.2, ,(C),1.04, ,(mm),5.9, ,(mm),87, ,(%),100, ,(%),66, ,(%),13.9, ,(C),90, ,(W./sq.m),1, ,(kPa),141.4, ,(m/s),1.6, ,(m/s)
2024-02-04,35,2,metric,93624,daily,11.2, ,(C),15, ,(C),8.5, ,(C),9.9, ,(C),0.62, ,(mm),17.4, ,(mm),91, ,(%),99, ,(%),76, ,(%),13.5, ,(C),43, ,(W./sq.m),1.2, ,(kPa),457.4,Y,(m/s),5.3,Y,(m/s)
2024-02-05,36,2,metric,93624,daily,11.9, ,(C),17, ,(C),7.4, ,(C),9.6, ,(C),1.53, ,(mm),2.5, ,(mm),86, ,(%),99, ,(%),64, ,(%),13.3, ,(C),116, ,(W./sq.m),1.2, ,(kPa),232, ,(m/s),2.7, ,(m/s)
2024-02-06,37,2,metric,93624,daily,10.4, ,(C),14.6, ,(C),7.3, ,(C),9.5, ,(C),1.27, ,(mm),4.9, ,(mm),94, ,(%),99, ,(%),77, ,(%),13.5, ,(C),110, ,(W./sq.m),1.2, ,(kPa),196.6, ,(m/s),2.3, ,(m/s)
2024-02-07,38,2,metric,93624,daily,8.3, ,(C),13.1, ,(C),4.7, ,(C),6.5, ,(C),0.68, ,(mm),11.5, ,(mm),88, ,(%),99, ,(%),61, ,(%),13.4, ,(C),64, ,(W./sq.m),1, ,(kPa),181.3, ,(m/s),2.1, ,(m/s)
2024-02-08,39,2,metric,93624,daily,7.3, ,(C),11.4, ,(C),3.9, ,(C),5.1, ,(C),0.9, ,(mm),0, ,(mm),86, ,(%),100, ,(%),69, ,(%),12.8, ,(C),89, ,(W./sq.m),0.9, ,(kPa),120.8, ,(m/s),1.4, ,(m/s)
2024-02-09,40,2,metric,93624,daily,6.9, ,(C),12.9, ,(C),1.6, ,(C),5.4, ,(C),1.64, ,(mm),0.1, ,(mm),91, ,(%),100, ,(%),63, ,(%),12.5, ,(C),143, ,(W./sq.m),0.9, ,(kPa),192.3, ,(m/s),2.2, ,(m/s)
2024-02-10,41,2,metric,93624,daily,7.4, ,(C),13.1, ,(C),2, ,(C),5.1, ,(C),1.86, ,(mm),0, ,(mm),85, ,(%),99, ,(%),60, ,(%),12.3, ,(C),155, ,(W./sq.m),0.9, ,(kPa),176.4, ,(m/s),2, ,(m/s)
2024-02-11,42,2,metric,93624,daily,7.2, ,(C),15.2, ,(C),0, ,(C),3.9, ,(C),1.72, ,(mm),0.1, ,(mm),79, ,(%),100, ,(%),50, ,(%),12.2, ,(C),145, ,(W./sq.m),0.8, ,(kPa),96.7, ,(m/s),1.1, ,(m/s)
2024-02-12,43,2,metric,93624,daily,8.6, ,(C),16.8, ,(C),1, ,(C),4.8, ,(C),1.86, ,(mm),0, ,(mm),77, ,(%),100, ,(%),50, ,(%),12.3, ,(C),145, ,(W./sq.m),0.9, ,(kPa),96.2, ,(m/s),1.1, ,(m/s)
2024-02-13,44,2,metric,93624,daily,9.2, ,(C),17.2, ,(C),2, ,(C),6.2, ,(C),1.86, ,(mm),0, ,(mm),81, ,(%),100, ,(%),52, ,(%),12.4, ,(C),147, ,(W./sq.m),0.9, ,(kPa),96.7, ,(m/s),1.1, ,(m/s)
2024-02-14,45,2,metric,93624,daily,11.3, ,(C),18.1, ,(C),3.7, ,(C),7, ,(C),2.13, ,(mm),0.5, ,(mm),75, ,(%),100, ,(%),49, ,(%),12.6, ,(C),135, ,(W./sq.m),1, ,(kPa),206.5, ,(m/s),2.4, ,(m/s)
2024-02-15,46,2,metric,93624,daily,11, ,(C),15.3, ,(C),6.8, ,(C),10.3, ,(C),1.65, ,(mm),5.2, ,(mm),96, ,(%),100, ,(%),78, ,(%),12.9, ,(C),142, ,(W./sq.m),1.3, ,(kPa),157.9, ,(m/s),1.8, ,(m/s)
2024-02-16,47,2,metric,93624,daily,11.2, ,(C),16.7, ,(C),6.1, ,(C),9.6, ,(C),1.45, ,(mm),0.1, ,(mm),90, ,(%),100, ,(%),71, ,(%),13.1, ,(C),121, ,(W./sq.m),1.2, ,(kPa),90.7, ,(m/s),1.1, ,(m/s)
2024-02-17,48,2,metric,93624,daily,11.6, ,(C),16.1, ,(C),9, ,(C),10.4, ,(C),0.43, ,(mm),5.9, ,(mm),92, ,(%),100, ,(%),65, ,(%),13.3, ,(C),42, ,(W./sq.m),1.3, ,(kPa),239.2, ,(m/s),2.8, ,(m/s)
2024-02-18,49,2,metric,93624,daily,14.1, ,(C),19.3, ,(C),9.1, ,(C),11.8, ,(C),2.27, ,(mm),1.3, ,(mm),86, ,(%),99, ,(%),63, ,(%),13.3, ,(C),150, ,(W./sq.m),1.4, ,(kPa),301.1, ,(m/s),3.5, ,(m/s)
2024-02-19,50,2,metric,93624,daily,14.7, ,(C),19.7, ,(C),9.7, ,(C),10.8, ,(C),2.63, ,(mm),13.6, ,(mm),77, ,(%),99, ,(%),46, ,(%),13.9, ,(C),154, ,(W./sq.m),1.3, ,(kPa),330.5, ,(m/s),3.8, ,(m/s)
2024-02-20,51,2,metric,93624,daily,12.6, ,(C),18.6, ,(C),8.1, ,(C),10.1, ,(C),2.15, ,(mm),1.5, ,(mm),85, ,(%),99, ,(%),64, ,(%),14.1, ,(C),157, ,(W./sq.m),1.2, ,(kPa),213, ,(m/s),2.5, ,(m/s)
2024-02-21,52,2,metric,93624,daily,11.4, ,(C),17.5, ,(C),6.3, ,(C),9.7, ,(C),2.17, ,(mm),1.2, ,(mm),89, ,(%),100, ,(%),61, ,(%),14.2, ,(C),166, ,(W./sq.m),1.2, ,(kPa),144.9, ,(m/s),1.7, ,(m/s)
2024-02-22,53,2,metric,93624,daily,11.1, ,(C),18, ,(C),4.8, ,(C),8, ,(C),2.57, ,(mm),0.1, ,(mm),81, ,(%),100, ,(%),48, ,(%),14.2, ,(C),199, ,(W./sq.m),1.1, ,(kPa),112.1, ,(m/s),1.3, ,(m/s)
2024-02-23,54,2,metric,93624,daily,10.8, ,(C),18, ,(C),5.7, ,(C),8.4, ,(C),1.97, ,(mm),0.1, ,(mm),85, ,(%),100, ,(%),56, ,(%),14.2, ,(C),147, ,(W./sq.m),1.1, ,(kPa),132.3, ,(m/s),1.5, ,(m/s)
2024-02-24,55,2,metric,93624,daily,12.6, ,(C),21.4, ,(C),5.3, ,(C),8.7, ,(C),2.67, ,(mm),0, ,(mm),77, ,(%),100, ,(%),49, ,(%),14.1, ,(C),184, ,(W./sq.m),1.1, ,(kPa),99.6, ,(m/s),1.2, ,(m/s)
2024-02-25,56,2,metric,93624,daily,13.3, ,(C),22.2, ,(C),4.5, ,(C),9.1, ,(C),2.52, ,(mm),0, ,(mm),76, ,(%),100, ,(%),43, ,(%),14.4, ,(C),162, ,(W./sq.m),1.2, ,(kPa),116, ,(m/s),1.3, ,(m/s)
2024-02-26,57,2,metric,93624,daily,11.9, ,(C),16.3, ,(C),6.8, ,(C),9.4, ,(C),1.04, ,(mm),0, ,(mm),85, ,(%),100, ,(%),65, ,(%),14.6, ,(C),79, ,(W./sq.m),1.2, ,(kPa),152.5, ,(m/s),1.8, ,(m/s)
2024-02-27,58,2,metric,93624,daily,11.6, ,(C),16.7, ,(C),6.8, ,(C),7.5, ,(C),2.87, ,(mm),0, ,(mm),76, ,(%),99, ,(%),47, ,(%),14.4, ,(C),180, ,(W./sq.m),1, ,(kPa),270.8, ,(m/s),3.1, ,(m/s)
2024-02-28,59,2,metric,93624,daily,11.8, ,(C),20.5, ,(C),3.3, ,(C),6.5, ,(C),2.68, ,(mm),0, ,(mm),70, ,(%),100, ,(%),44, ,(%),14.3, ,(C),180, ,(W./sq.m),1, ,(kPa),102, ,(m/s),1.2, ,(m/s)
2024-02-29,60,2,metric,93624,daily,12.4, ,(C),19.1, ,(C),5.1, ,(C),7.6, ,(C),3.2, ,(mm),0, ,(mm),73, ,(%),99, ,(%),47, ,(%),14.3, ,(C),170, ,(W./sq.m),1, ,(kPa),310, ,(m/s),3.6, ,(m/s)
2024-03-01,61,2,metric,93624,daily,12.9, ,(C),17.5, ,(C),9.7, ,(C),10, ,(C),2.02, ,(mm),4.9, ,(mm),82, ,(%),99, ,(%),62, ,(%),14.3, ,(C),123, ,(W./sq.m),1.2, ,(kPa),403.4,Y,(m/s),4.7,Y,(m/s)
2024-03-02,62,2,metric,93624,daily,10.7, ,(C),13.2, ,(C),8.8, ,(C),8.2, ,(C),1.29, ,(mm),5, ,(mm),84, ,(%),98, ,(%),69, ,(%),14.3, ,(C),101, ,(W./sq.m),1.1, ,(kPa),277.5, ,(m/s),3.2, ,(m/s)
2024-03-03,63,2,metric,93624,daily,10.5, ,(C),15.5, ,(C),6, ,(C),7.2, ,(C),2.29, ,(mm),1, ,(mm),80, ,(%),100, ,(%),53, ,(%),14.1, ,(C),183, ,(W./sq.m),1, ,(kPa),117.3, ,(m/s),1.4, ,(m/s)
2024-03-04,64,2,metric,93624,daily,9.9, ,(C),15.5, ,(C),3.4, ,(C),6.1, ,(C),2.61, ,(mm),0.1, ,(mm),77, ,(%),100, ,(%),52, ,(%),14.2, ,(C),194, ,(W./sq.m),0.9, ,(kPa),135, ,(m/s),1.6, ,(m/s)
2024-03-05,65,2,metric,93624,daily,13.4, ,(C),18.9, ,(C),7.8, ,(C),6.8, ,(C),3, ,(mm),0, ,(mm),64, ,(%),100, ,(%),46, ,(%),14.4, ,(C),164, ,(W./sq.m),1, ,(kPa),120.9, ,(m/s),1.4, ,(m/s)
2024-03-06,66,2,metric,93624,daily,11.3, ,(C),18.7, ,(C),6, ,(C),8.6, ,(C),2.11, ,(mm),3.2, ,(mm),84, ,(%),99, ,(%),54, ,(%),14.5, ,(C),154, ,(W./sq.m),1.1, ,(kPa),160.9, ,(m/s),1.9, ,(m/s)
2024-03-07,67,2,metric,93624,daily,11.9, ,(C),17.4, ,(C),8.1, ,(C),9, ,(C),3.09, ,(mm),0, ,(mm),83, ,(%),99, ,(%),62, ,(%),14.6, ,(C),212, ,(W./sq.m),1.1, ,(kPa),246.1, ,(m/s),2.8, ,(m/s)
2024-03-08,68,2,metric,93624,daily,11.7, ,(C),19.3, ,(C),3.9, ,(C),5.6, ,(C),3.25, ,(mm),0, ,(mm),66, ,(%),99, ,(%),39, ,(%),14.5, ,(C),236, ,(W./sq.m),0.9, ,(kPa),133.1, ,(m/s),1.5, ,(m/s)
2024-03-09,69,2,metric,93624,daily,12.1, ,(C),20, ,(C),5.2, ,(C),8.3, ,(C),3.31, ,(mm),0, ,(mm),78, ,(%),99, ,(%),51, ,(%),14.8, ,(C),230, ,(W./sq.m),1.1, ,(kPa),206.2, ,(m/s),2.4, ,(m/s)
2024-03-10,70,2,metric,93624,daily,12.8, ,(C),20.2, ,(C),7, ,(C),9.2, ,(C),2.93, ,(mm),0, ,(mm),79, ,(%),99, ,(%),52, ,(%),15, ,(C),198, ,(W./sq.m),1.2, ,(kPa),178.4, ,(m/s),2.1, ,(m/s)
2024-03-11,71,2,metric,93624,daily,13.2, ,(C),20.1, ,(C),5.4, ,(C),6.6, ,(C),3.49, ,(mm),0, ,(mm),64, ,(%),97, ,(%),40, ,(%),15.4, ,(C),237, ,(W./sq.m),1, ,(kPa),176.4, ,(m/s),2, ,(m/s)
2024-03-12,72,2,metric,93624,daily,13.4, ,(C),19.5, ,(C),8.7, ,(C),9.4, ,(C),2.63, ,(mm),0.5, ,(mm),77, ,(%),99, ,(%),59, ,(%),15.7, ,(C),171, ,(W./sq.m),1.2, ,(kPa),243.3, ,(m/s),2.8, ,(m/s)
2024-03-13,73,2,metric,93624,daily,11.4, ,(C),18.1, ,(C),5.5, ,(C),5.5, ,(C),4.01, ,(mm),0, ,(mm),67, ,(%),99, ,(%),46, ,(%),15.5, ,(C),226, ,(W./sq.m),0.9, ,(kPa),363, ,(m/s),4.2, ,(m/s)
2024-03-14,74,2,metric,93624,daily,12.5, ,(C),19.9, ,(C),4.7, ,(C),1.4, ,(C),5.02, ,(mm),0.2,H,(mm),47, ,(%),81, ,(%),23, ,(%),15, ,(C),254,R,(W./sq.m),0.7, ,(kPa),395.6, ,(m/s),4.6, ,(m/s)
2024-03-15,75,2,metric,93624,daily,13, ,(C),21.4, ,(C),5.3, ,(C),1.5, ,(C),4.06, ,(mm),0, ,(mm),46, ,(%),71, ,(%),27, ,(%),15, ,(C),253, ,(W./sq.m),0.7, ,(kPa),194.5, ,(m/s),2.3, ,(m/s)
2024-03-16,76,2,metric,93624,daily,13.1, ,(C),22.6, ,(C),2.9, ,(C),3.1, ,(C),4.21, ,(mm),0, ,(mm),51, ,(%),84, ,(%),26, ,(%),15.3, ,(C),257,R,(W./sq.m),0.8, ,(kPa),163.9, ,(m/s),1.9, ,(m/s)
2024-03-17,77,2,metric,93624,daily,14.4, ,(C),23.2, ,(C),5.3, ,(C),4.1, ,(C),4.16, ,(mm),0, ,(mm),50, ,(%),82, ,(%),29, ,(%),15.6, ,(C),253, ,(W./sq.m),0.8, ,(kPa),147.1, ,(m/s),1.7, ,(m/s)
2024-03-18,78,2,metric,93624,daily,15.7, ,(C),25, ,(C),5.5, ,(C),6.9, ,(C),4.18, ,(mm),0, ,(mm),56, ,(%),87, ,(%),33, ,(%),16, ,(C),251, ,(W./sq.m),1, ,(kPa),140.1, ,(m/s),1.6, ,(m/s)
2024-03-19,79,2,metric,93624,daily,16.8, ,(C),26.3, ,(C),7.5, ,(C),8, ,(C),4.56, ,(mm),0, ,(mm),56, ,(%),91, ,(%),28, ,(%),16.5, ,(C),257, ,(W./sq.m),1.1, ,(kPa),173.5, ,(m/s),2, ,(m/s)
2024-03-20,80,2,metric,93624,daily,16.8, ,(C),26, ,(C),7.9, ,(C),3.2, ,(C),5.14, ,(mm),0, ,(mm),40, ,(%),74, ,(%),19, ,(%),16.8, ,(C),262, ,(W./sq.m),0.8, ,(kPa),230.4, ,(m/s),2.7, ,(m/s)
2024-03-21,81,2,metric,93624,daily,15.3, ,(C),23.3, ,(C),7.6, ,(C),6, ,(C),4.22, ,(mm),0, ,(mm),54, ,(%),79, ,(%),34, ,(%),16.9, ,(C),250, ,(W./sq.m),0.9, ,(kPa),223.7, ,(m/s),2.6, ,(m/s)
2024-03-22,82,2,metric,93624,daily,16.9, ,(C),26.1, ,(C),8.8, ,(C),7.8, ,(C),5.14, ,(mm),0, ,(mm),55, ,(%),83, ,(%),24, ,(%),17.1,Y,(C),257, ,(W./sq.m),1.1, ,(kPa),288.9, ,(m/s),3.3, ,(m/s)
2024-03-23,83,2,metric,93624,daily,11.8, ,(C),17.7, ,(C),6.1, ,(C),8.4, ,(C),2.13, ,(mm),1.1, ,(mm),80, ,(%),99, ,(%),50, ,(%),17.2,Y,(C),146, ,(W./sq.m),1.1, ,(kPa),232.2, ,(m/s),2.7, ,(m/s)
